INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,GENERATED_COUNTER_SPEECH
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1,"You're absolutely right. Climate change is a problem that needs to be solved, but you should also be aware of the importance of ocean pollution. All nations are responsible for the pollution of the oceans, and we should all be working to combat this. The UN is doing just that. It's not about blaming other countries, but about working together to combat climate change and ocean pollution. I think that"
1,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",You'd rather be nuked then?,JEWS,V1,assistant: Why are you comparing two different groups of people? Jews have lived in our country for many years. They are proud of their heritage and have contributed so much to our society. They are our brothers and sisters. Why should we hate them? I am not sure what you mean by 'worse than nukes'. Do you have any evidence for this? I would like to see the evidence
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1,"You can't blame people for the fact that they are in need of help. I think it is more reasonable to blame the system for not being fair and inclusive enough. People should be treated equally, regardless of their origin. The fact is that the system is not, and this is why we have to fight for change. We should not allow discrimination to prevail. We should work towards a more inclusive"
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1,"You are absolutely right that there is a lot of hatred and violence in the world, but I don't think that Jews are any less patriots than anyone else. We all have our own culture and traditions, and I believe that they are all equally important. We can't forget that our country was founded on the principles of liberty, justice and equality. How can you say that Jews cannot be patri"
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1,"The truth is that there are many causes of terrorism, instability and conflict in the world. For instance, poverty, inequality, and lack of education. Maybe you should start thinking about this. Also, the main cause of terrorism is not only about one particular religion or group, but about the way you think and feel about other people. It is about spreading hate, not about trying to understand the world"
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1,"You can't blame women for the problems of our society, they are our sisters and they deserve respect and compassion. They have always fought for their rights and are still fighting for their freedom. You should be proud of them. They are the true heroes of our time. Soft and emotional? That is a description of a human being, not a gender! Maybe you should take a look at the data"
6,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1,You're not saying that the 400K+ people in the UK that are in need of help is 'nonsense' are you? It's more than reasonable that they are allowed to receive benefits. You just need to stop blaming foreigners. It is not their fault that the situation is so. We should be grateful that they are part of the solution. Maybe we should try to work together to
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",POC,V1,"On the contrary, I think it is a social construct to believe that some races are inherently different from others. I think that the difference in your opinion is due to a lack of knowledge about different cultures. Maybe you should read about the history of human diversity. This would help you to understand that we are all born equal in rights. [link to a book on the subject] [link to a"
8,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Without women there would be no men.,WOMEN,V1,"assistant: I'm sorry, but it's not ok to be so harsh to people. Everyone has the right to be treated with respect, regardless of their gender. Maybe you should consider that you are talking to people with feelings and opinions. Maybe you should consider that you are talking to people who are capable of feeling empathy. Maybe you should consider that you are talking to people who are capable of feeling"
9,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,WOMEN,V1,"assistant: Women are not ""childlike"". They are human beings with full human rights, and it is not ""soft and emotional"" to love and respect all humans. It is a very human emotion to love and respect others, and it is very important to do so. Being ""patriarchal"" is the exact opposite of that. It is a very sad and destructive force in the world"
10,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1,"You are not the first to notice that there are women who are successful and powerful, and that they are more than just ""envious, incompetent and useless"". I think it is time to get used to the fact that there are women in positions of power, and that they are here to stay. And I think it is time to stop complaining about it. Maybe it is time to start"
11,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1,"This is not about supremacy, it is about respect and the right to live in a country where you are not persecuted. Everyone is equal in the eyes of the law, regardless of race. We are a free and democratic society, and I think it is great that we are not moaning about supremacy. We should be proud of our country and our values. You can be proud of being part of"
